UserID;Title;Initials;Name;Surname
159;Mr;W;Werner;Pieterse
173;Mr;T;Tinashe;de Waal
182;Ms;G;Gugulethu;Sibanda
251;Mr;B;Bernhard;Ntsaluba
262;Ms;HO;Hulisani;Keuris
264;Miss;K;Karli;Coetzee
265;Mr;TDM;Tapiwa;Moradu
268;Mr;MT;Malope;Mann
270;Mr;LNJ;Lindokuhle;Ditshego
278;Mr;TS;Themba;Baloyi
279;Mr;DM;David;Gaofetoge
281;Miss;KR;Kgaugelo;Segwai
290;Miss;KA;Kelotseetseng;Venter
299;Mr;HG;Hendrik;Vilakazi
301;Mr;TJ;Tlhogelo;Nxumalo
304;Mr;OB;Okpuma;Rall
306;Mr;LN;Leroy;Chigwere
313;Mr;P;Phillip;Lesufi
314;Mr;TL;Tshepo;Haasbroek
323;Miss;T;Tilandi;Bothma
324;Miss;VL;Vivian;Colic
327;Mr;L;Lap Sun;Narainsamy
330;Mr;T;Tlhalefo;Allenby
331;Mr;WN;Welcome;Chikonde
335;Ms;NP;Nkateko;Carrim
337;Miss;TG;Toluwanimi;de Wet
450;Mr;DD;Derick;Ingo
536;Mr;RG;Rendani;Joubert
537;Mr;E;Ernst;Heyl
538;Mr;AG;Andrew;Mpelepele
539;Mr;HJ;Hendrik;Molefyane
540;Miss;CND;Christiana;Chitsiku
541;Mr;M;McLeod;Jansen van Rensburg
542;Mr;PI;Peace;Kgobane
543;Miss;BA;Bianca;Donkrag
544;Mr;KB;Kulani;Barnard
545;Mr;NI;Nhlanhla;Camp
546;Miss;CJ;Chetali;Ferreira
547;Miss;SP;Sinethemba;McMaster
548;Mr;NP;Nathan;Monaghan
549;Miss;NA;Natasha;Gossayn
550;Miss;NS;Neo;Coetzee
551;Miss;CJ;Caitlin;Dravillas
552;Mr;M;Muhammad;Makobe
553;Mr;MS;Mussa;Mthembu
554;Mr;JT;Joshua;Nolan
555;Miss;MS;Marin;Matseke
556;Mr;DV;Dennis;Lategan
557;Mr;BT;Brighton;Hamadziripi
558;Miss;V;Vhumbani;de Bruin
559;Mr;A;Armand;Mjali
560;Miss;NP;Nosipho;Musenge
561;Miss;T;Tshiphiri;Gumenku
562;Mr;BT;Bryne;Nortjé
563;Mr;TP;Thulani;King
564;Mr;B;Brian;Mudiwa
565;Mr;T;Tshepo;Mohamed
566;Mr;B;Brandon;Kirsten
567;Mr;PM;Peter;Mahlangu
568;Miss;N;Neleen;Mathews
569;Mr;JD;Jonathan;de Villiers
570;Mr;BD;Ben;Conradie
571;Mr;K;Kamvelihle Ntuthuzelo Mthun;Groenewald
572;Mr;RL;Rodney;Mootheram
573;Mr;T;Tlotlisang;Labuschagne
574;Mr;FW;Fabian;Boucher
575;Mr;JBG;James;Matloa
576;Mr;L;Liam;Maribe
577;Mr;M;Marnus;Kleinhentz
578;Miss;CE;Caron;Gani
579;Ms;N;Neline;Marimuthu
580;Miss;TSF;Tusani;Hall
581;Mr;W;Wayne;Manamela
582;Mr;IL;Ivan;Brindle
583;Miss;M;Megan;Mokano
584;Miss;TSP;Thandeka;Namoonde
585;Mrs;HP;Hlobsile;Haar
586;Mr;RC;Roelof;Labuschagne
587;Mr;NC;Nicholas;Beukes
588;Mr;BM;Byron;Abdool Rehman
589;Mr;L;Lindokuhle;Crawford
590;Ms;C;Claudine;Dlamini
591;Mr;R;Ralton;Clarke
592;Mr;CH;Calvin;Karim
593;Mr;AA;Anrich;Euvrard
594;Miss;PD;Portia;Manyeli
595;Mr;AB;Aaron;Hulett
596;Mr;KBG;Keletso;Maudu
597;Mr;M;Marcel;Buytenhuys
598;Mr;IY;Ismaeel;Ngonyama
599;Mr;KT;Khuliso;Patrick
600;Miss;MT;Mamobu;Fourie
601;Mr;DK;Ditley;Kasompe
602;Mr;M;Motsepe;Madziwa
603;Mr;BS;Bonginkhosi;Gumede
604;Ms;VP;Vuyo;Kumbeya
605;Miss;AA;Amahle;Gee
606;Ms;T;Tshimologo;Malan
607;Miss;LM;Lukonde;Ndabandaba
608;Mr;J;Jacques;Muloiwa
609;Mr;TK;Thatoyaone;Ndlela
610;Miss;A;Anna-Marié;Cloete
611;Mr;H;Happy;Freese
612;Mr;ATT;Alfred;Mashamba
613;Mr;AC;Andrew;Mkukwana
614;Mr;RC;Rickus;Dire
615;Mr;LR;Leballo;Ndou
616;Mr;PJ;Petrus;Docherty
617;Mr;AI;Andrew;Patel
618;Mr;MH;Mossaic;Dove
619;Mr;G;Godwin;Beverin
620;Mr;M;Muwanwa;Mahlinza
621;Mr;GF;Gerhardus;Borstlap
622;Mr;JC;Johan;Mkhombo
623;Mr;M;Muneer;Ilsley
624;Miss;S;Samika;Antak
625;Mr;L;Luka;Kruger
626;Ms;YE;Yolande;Helberg
627;Mr;E;Erin;Mabuza
628;Mr;H;Henk;John
629;Mr;TM;Thendo;Miya
630;Mr;LM;Lesibana;Hlophe
631;Mr;R;Ruann;Cuba
632;Mr;S;Shaun;Chauke
633;Mr;DR;Duncan;Graaff
634;Mr;L;Liberty;Dhlamini
635;Miss;GN;Gabrielle;Ndouvhada
636;Miss;N;Nompumelelo;Chikomo
637;Mr;S;Shaneel;Mudzingwa
638;Mr;ZN;Zithobe;Cannon
639;Mr;P;Panayiotis;Heymans
640;Mr;DR;David;Chanderpaul
641;Ms;TT;Tyla;Msweli
642;Mr;I;Itumeleng;Masilo
643;Ms;JT;Jenni;Mabunda
644;Mr;D;Daverin;Masara
645;Mr;KA;Kai;Jordaan
646;Mr;T;Tian;Mulovhedzi
647;Mr;TJ;Targo;Nadesan
648;Miss;B;Bridget;Goosen
649;Miss;M;Monica;Gadebe
650;Mr;MHP;Marubini;Kistnasamy
651;Mr;FA;Fulela;Miller
